iter	Passed	Remaining
618	1922	1183
619	1925	1180
620	1928	1176
621	1931	1173
622	1934	1170
623	1936	1167
624	1939	1163
625	1942	1160
626	1945	1157
627	1948	1153
628	1950	1150
629	1953	1147
630	1956	1144
631	1959	1141
632	1963	1138
633	1966	1135
634	1968	1131
635	1971	1128
636	1975	1125
637	1978	1122
638	1981	1119
639	1984	1116
640	1988	1113
641	1991	1110
642	1995	1107
643	1998	1104
644	2002	1101
645	2005	1098
646	2007	1095
647	2010	1092
648	2013	1088
649	2015	1085
650	2018	1082
651	2021	1079
652	2024	1075
653	2027	1072
654	2030	1069
655	2034	1066
656	2037	1063
657	2041	1061
658	2044	1058
659	2047	1054
660	2050	1051
661	2053	1048
662	2056	1045
663	2059	1042
664	2062	1039
665	2065	1035
666	2068	1032
667	2071	1029
668	2074	1026
669	2077	1023
670	2080	1019
671	2083	1017
672	2086	1014
673	2090	1011
674	2093	1007
675	2095	1004
676	2098	1001
677	2102	998
678	2105	995
679	2108	992
680	2111	989
681	2114	985
682	2117	982
683	2121	979
684	2123	976
685	2126	973
686	2129	970
687	2133	967
688	2136	964
689	2141	962
690	2170	970
691	2175	968
692	2179	965
693	2183	962
694	2187	959
695	2190	956
696	2194	953
697	2197	950
698	2200	947
699	2204	944
700	2207	941
701	2210	938
702	2213	935
703	2216	932
704	2220	929
705	2223	925
706	2226	922
707	2229	919
708	2233	916
709	2236	913
710	2238	910
711	2241	906
712	2244	903
713	2247	900
714	2249	896
715	2252	893
716	2255	890
717	2258	887
718	2261	883
719	2264	880
720	2267	877
721	2270	874
722	2273	871
723	2276	867
724	2279	864
725	2282	861
726	2286	858
727	2290	855
728	2293	852
729	2296	849
730	2299	846
731	2301	842
732	2305	839
733	2308	836
734	2311	833
735	2313	829
736	2316	826
737	2320	823
738	2323	820
739	2326	817
740	2329	814
741	2332	811
742	2336	808
743	2338	804
744	2341	801
745	2345	798
746	2348	795
747	2350	792
748	2354	788
749	2357	785
750	2360	782
751	2363	779
752	2366	776
753	2369	773
754	2372	769
755	2374	766
756	2377	763
757	2380	759
758	2383	756
759	2385	753
760	2388	750
761	2391	746
762	2393	743
763	2396	740
764	2399	737
765	2402	733
766	2405	730
767	2408	727
768	2411	724
769	2414	721
770	2416	717
771	2419	714
772	2422	711
773	2425	708
774	2428	705
775	2431	701
776	2434	698
777	2436	695
778	2439	692
779	2442	688
780	2444	685
781	2447	682
782	2450	679
783	2452	675
784	2455	672
785	2458	669
786	2461	666
787	2463	662
788	2466	659
789	2468	656
790	2471	653
791	2474	649
792	2476	646
793	2479	643
794	2482	640
795	2484	636
796	2487	633
797	2490	630
798	2492	627
799	2495	623
800	2498	620
801	2500	617
802	2503	614
803	2506	610
804	2508	607
805	2511	604
806	2514	601
807	2516	598
808	2519	594
809	2522	591
810	2524	588
811	2527	585
812	2530	582
813	2533	578
814	2536	575
815	2538	572
816	2541	569
817	2544	566
818	2547	562
819	2549	559
820	2552	556
821	2555	553
822	2558	550
823	2561	547
824	2564	543
825	2567	540
826	2569	537
827	2572	534
828	2575	531
829	2578	528
830	2581	524
831	2583	521
832	2586	518
833	2589	515
834	2622	518
835	2626	515
836	2630	512
837	2634	509
838	2639	506
839	2643	503
840	2647	500
841	2651	497
842	2654	494
843	2658	491
844	2661	488
845	2664	485
846	2667	481
847	2670	478
848	2673	475
849	2676	472
850	2679	469
851	2682	465
852	2685	462
853	2687	459
854	2690	456
855	2693	453
856	2696	449
857	2699	446
858	2702	443
859	2704	440
860	2708	437
861	2712	434
862	2714	430
863	2717	427
864	2720	424
865	2723	421
866	2726	418
867	2728	415
868	2731	411
869	2734	408
870	2737	405
871	2740	402
872	2742	399
873	2745	395
874	2749	392
875	2752	389
876	2755	386
877	2758	383
878	2761	380
879	2764	376
880	2766	373
881	2770	370
882	2773	367
883	2775	364
884	2778	361
885	2781	357
886	2803	357
887	2808	354
888	2812	351
889	2817	348
890	2821	345
891	2825	342
892	2828	338
893	2831	335
894	2834	332
895	2837	329
896	2841	326
897	2843	323
898	2846	319
899	2850	316
900	2853	313
901	2857	310
902	2861	307
903	2864	304
904	2867	301
905	2871	297
906	2874	294
907	2878	291
908	2881	288
909	2885	285
910	2888	282
911	2891	279
912	2895	275
913	2900	272
914	2905	269
915	2909	266
916	2913	263
917	2916	260
918	2920	257
919	2923	254
920	2927	251
921	2930	247
922	2934	244
923	2938	241
924	2942	238
925	2945	235
926	2949	232
927	2953	229
928	2957	226
929	2960	222
930	2964	219
931	2967	216
932	2971	213
933	2975	210
934	2979	207
935	2983	203
936	2986	200
937	2990	197
938	2994	194
939	3000	191
940	3003	188
941	3007	185
942	3011	182
943	3015	178
944	3018	175
945	3022	172
946	3026	169
947	3030	166
948	3034	163
949	3038	159
950	3043	156
951	3047	153
952	3051	150
953	3055	147
954	3060	144
955	3064	141
956	3068	137
957	3072	134
958	3076	131
959	3080	128
960	3084	125
961	3088	121
962	3092	118
963	3096	115
964	3100	112
965	3105	109
966	3109	106
967	3113	102
968	3117	99
969	3122	96
970	3126	93
971	3130	90
972	3134	86
973	3138	83
974	3143	80
975	3147	77
976	3152	74
977	3157	71
978	3161	67
979	3165	64
980	3169	61
981	3173	58
982	3178	54
983	3182	51
984	3186	48
985	3190	45
986	3194	42
987	3198	38
988	3201	35
989	3206	32
990	3210	29
991	3214	25
992	3218	22
993	3222	19
994	3227	16
995	3231	12
996	3235	9
997	3239	6
998	3243	3
999	3247	0
