iter	Logloss
0	0.6900902623
1	0.6878881836
2	0.6850195313
3	0.6822463728
4	0.6799064593
5	0.6777674386
6	0.6763111747
7	0.6746953823
8	0.6725532227
9	0.6706617606
10	0.6693137556
11	0.667351144
12	0.6655133929
13	0.6644965123
14	0.6629447545
15	0.661421317
16	0.6600754743
17	0.6587109375
18	0.6571319754
19	0.6559204799
20	0.654546596
21	0.6534492187
22	0.6523208705
23	0.651371024
24	0.6502679967
25	0.6494048549
26	0.6484468471
27	0.6475191127
28	0.6467630441
29	0.6457912249
30	0.6450136719
31	0.6443362165
32	0.6435361328
33	0.6430552455
34	0.6422485352
35	0.6415825893
36	0.6409580776
37	0.6405078125
38	0.6399183873
39	0.6393256138
40	0.638664481
41	0.6380843331
42	0.6375375279
43	0.6370475725
44	0.6365493164
45	0.6361788504
46	0.6358074079
47	0.6352114258
48	0.6349167829
49	0.6347315848
50	0.6342061942
51	0.6338897879
52	0.6335203683
53	0.6331116071
54	0.6326545759
55	0.6324367327
56	0.6321717355
57	0.6318458426
58	0.6315996094
59	0.6312830636
60	0.6309433594
61	0.6306388811
62	0.6304011579
63	0.630163365
64	0.6299291992
65	0.6296996373
66	0.6294829799
67	0.6292174944
68	0.6290059989
69	0.6287912249
70	0.6285055804
71	0.6282758789
72	0.628028111
73	0.6277822266
74	0.6276628767
75	0.6274324777
76	0.6271103516
77	0.6268191267
78	0.6266711775
79	0.6265145787
80	0.6263264509
81	0.6262198661
82	0.6260256696
83	0.6258193359
84	0.6256805246
85	0.6254073661
86	0.6252229353
87	0.6250750558
88	0.6250143694
89	0.6248222656
90	0.6247054269
91	0.6245763114
92	0.6244607282
93	0.6244274554
94	0.624331543
95	0.624242048
96	0.6240569196
97	0.6239686105
98	0.6238012695
99	0.6236717355
100	0.6235679408
101	0.6234325474
102	0.6234151786
103	0.6232469308
104	0.6231215123
105	0.6230472935
106	0.6228976004
107	0.6228044085
108	0.6226263951
109	0.6224956752
110	0.6223341936
111	0.6221243722
112	0.6219982561
113	0.6218754185
114	0.62167613
115	0.6215659877
116	0.6214344308
117	0.6214240374
118	0.6212777623
119	0.6211393694
120	0.6209900251
121	0.6208879743
122	0.6207878069
123	0.6206254185
124	0.6204820033
125	0.6203002232
126	0.6201614118
127	0.620124721
128	0.6200750558
129	0.619871861
130	0.6197676479
131	0.6196238839
132	0.6195064174
133	0.6194250837
134	0.6192435826
135	0.6191038644
136	0.6190861468
137	0.6189440569
138	0.6188688616
139	0.6187788783
140	0.6186625279
141	0.6185334821
142	0.6183968331
143	0.6182087054
144	0.6180859375
145	0.6179307338
146	0.6178293806
147	0.6176910575
148	0.6175327846
149	0.6173828125
150	0.6172843192
151	0.6171849191
152	0.6170984933
153	0.6169902344
154	0.6168759068
155	0.6168214286
156	0.6167452567
157	0.6166628069
158	0.6165885882
159	0.6165837751
160	0.6164621931
161	0.6163480748
162	0.6162428153
163	0.6161107701
164	0.615992327
165	0.6158770926
166	0.6157649275
167	0.6156589007
168	0.6155990513
169	0.6154967215
170	0.6154005301
171	0.6153095703
172	0.6152045898
173	0.6150657087
174	0.6150535714
175	0.6149176897
176	0.614800293
177	0.6147638811
178	0.6146575056
179	0.6145793806
180	0.6144749581
181	0.6143722098
182	0.6142064732
183	0.614117885
184	0.6140101144
185	0.6138148717
186	0.6136683175
187	0.6135960519
188	0.6134619141
189	0.6133895787
190	0.613265346
191	0.6131474609
192	0.613094308
193	0.6129483119
194	0.6128232422
195	0.6127051479
196	0.6126157227
197	0.6125027902
198	0.6124671456
199	0.612402832
200	0.61225
201	0.6121570871
202	0.6120596401
203	0.6120130441
204	0.6119472656
205	0.6118523996
206	0.6117663923
207	0.6116179548
208	0.6115101842
209	0.6114421038
210	0.611359375
211	0.6112889927
212	0.6111812221
213	0.6111484375
214	0.6110172294
215	0.6108975307
216	0.6107833426
217	0.6106505301
218	0.610492606
219	0.6103757673
220	0.6103680943
221	0.6102424665
222	0.6101551339
223	0.6101060268
224	0.6100029297
225	0.6099020647
226	0.6097749023
227	0.6096965681
228	0.6096162807
229	0.6095352958
230	0.6094324079
231	0.6094087612
232	0.6093450056
233	0.6092857143
234	0.60916762
235	0.6090851004
236	0.608953683
237	0.6088845564
238	0.6087950614
239	0.6086970564
240	0.6086146763
241	0.6084331055
242	0.6083327985
243	0.6082453962
244	0.6081688058
245	0.6080777065
246	0.6080217634
247	0.6079631696
248	0.6079563337
249	0.6079069475
250	0.6078107561
251	0.6077022879
252	0.6075691964
253	0.6074929548
254	0.6074252232
255	0.6073575614
256	0.6072591378
257	0.6071398577
258	0.6070770089
259	0.6070311105
260	0.6069177595
261	0.6067541853
262	0.60674149
263	0.6066518555
264	0.60650851
265	0.6064013672
266	0.6063267299
267	0.6062145647
268	0.6060599888
269	0.6059861886
270	0.6059521484
271	0.6058759766
272	0.6057958984
273	0.60570738
274	0.6055827288
275	0.605483817
276	0.6054049944
277	0.6052618583
278	0.6051979632
279	0.6051321847
280	0.6050133231
281	0.6049108538
282	0.6048391462
283	0.604757394
284	0.60463351
285	0.604546317
286	0.6044637277
287	0.6043388672
288	0.6042255859
289	0.6041774554
290	0.6040933315
291	0.6040274135
292	0.603906529
293	0.6037763672
294	0.6036677595
295	0.6035552455
296	0.6034801897
297	0.6033803013
298	0.6033359375
299	0.6032526507
300	0.6031775251
301	0.6031263253
302	0.6030304129
303	0.6029041574
304	0.6028089425
305	0.6027322824
306	0.6026881975
307	0.6026187221
308	0.6024870257
309	0.6023915318
310	0.6022680664
311	0.6021778739
312	0.6020588728
313	0.6019561244
314	0.6019052037
315	0.6018530971
316	0.6017693917
317	0.6016888951
318	0.6015996791
319	0.6015013253
320	0.6013690709
321	0.6012767857
322	0.6011759208
323	0.6010860073
324	0.6010334821
325	0.6009189453
326	0.6008148717
327	0.6007331194
328	0.6006469029
329	0.6005429688
330	0.600448591
331	0.6003436802
332	0.6002329799
333	0.6001219308
334	0.6000378767
335	0.5999810268
336	0.5999031808
337	0.5998233817
338	0.5997682757
339	0.5997110073
340	0.5996349051
341	0.599547154
342	0.5994400809
343	0.5993285435
344	0.5992307478
345	0.5991749442
346	0.5990796596
347	0.5990196708
348	0.5989315011
349	0.5988391462
350	0.5987970145
351	0.5987293527
352	0.598651995
353	0.5985686384
354	0.5984589844
355	0.5983680246
356	0.5982400251
357	0.5981286272
358	0.5980244838
359	0.59797726
360	0.5979125977
361	0.5978213588
362	0.5976628069
363	0.5975664063
364	0.5974668666
365	0.5973589565
366	0.5972350725
367	0.5971529018
368	0.597073591
369	0.5969478237
370	0.5968683036
371	0.5967797154
372	0.596671596
373	0.596539481
374	0.5964118304
375	0.5962919224
376	0.5961771763
377	0.5960143694
378	0.5959071568
379	0.5958157087
380	0.5956993583
381	0.5956241629
382	0.5955066964
383	0.5954370815
384	0.5953929269
385	0.5953147321
386	0.5952084263
387	0.5951572266
388	0.5950497349
389	0.5948943917
390	0.5947243304
391	0.5946171177
392	0.5944739118
393	0.5943126395
394	0.5941742467
395	0.594066755
396	0.5939540318
397	0.5938593052
398	0.5937779018
399	0.5937056362
400	0.5935879604
401	0.5935094169
402	0.5934047154
403	0.5932843192
404	0.5931784319
405	0.5930564314
406	0.5929543108
407	0.592890904
408	0.5928123605
409	0.592679269
410	0.5925968192
411	0.5925325056
412	0.5924083426
413	0.592343471
414	0.5922601842
415	0.5921413923
416	0.5920046735
417	0.5919138532
418	0.591788365
419	0.5916650391
420	0.5915986328
421	0.591464774
422	0.5913761161
423	0.5912725307
424	0.5911833147
425	0.5910560826
426	0.5909441964
427	0.5908473772
428	0.5907389788
429	0.5906580636
430	0.5906010045
431	0.5904821429
432	0.5903831613
433	0.590265904
434	0.5902251674
435	0.590085519
436	0.5900245536
437	0.5899250837
438	0.5898527483
439	0.5897285156
440	0.5895705915
441	0.5894333147
442	0.589300014
443	0.5892037528
444	0.5891196987
445	0.5890196708
446	0.5889275949
447	0.5888592355
448	0.5887407924
449	0.5886291853
450	0.5885371094
451	0.5884356864
452	0.5883283343
453	0.5882180525
454	0.5880837054
455	0.5879827706
456	0.5878874163
457	0.5878086635
458	0.5877047991
459	0.5876102818
460	0.587515067
461	0.5873864397
462	0.5872799944
463	0.5871748047
464	0.5870714286
465	0.5869461496
466	0.5868391462
467	0.5867361886
468	0.5866121652
469	0.5865361328
470	0.5864200614
471	0.5863233119
472	0.5862540458
473	0.5861401367
474	0.5860701032
475	0.5859737026
476	0.5858760463
477	0.5857603237
478	0.5856595982
479	0.5855274833
480	0.5854077846
481	0.5853076172
482	0.58517899
483	0.5850824498
484	0.5849930943
485	0.5848894392
486	0.5848110352
487	0.5847183315
488	0.5846350098
489	0.5845194266
490	0.5844353725
491	0.5843005371
492	0.584212786
493	0.5841139439
494	0.5840228097
495	0.5839636928
496	0.5838947405
497	0.5838157785
498	0.5836928013
499	0.5836039342
500	0.58349149
501	0.5834112723
502	0.5832740653
503	0.5831534249
504	0.5830515485
505	0.582955671
506	0.5828748605
507	0.5827650321
508	0.5826577846
509	0.5825560477
510	0.5824609724
511	0.582355957
512	0.5822586147
513	0.582172154
514	0.5820767648
515	0.5820085798
516	0.5819057617
517	0.5818128488
518	0.5817039969
519	0.5816208147
520	0.5815223563
521	0.5813996233
522	0.581341483
523	0.5812724261
524	0.5811478097
525	0.5810869838
526	0.5809989537
527	0.5808787319
528	0.5807802037
529	0.5806606794
530	0.5805616629
531	0.5805096959
532	0.5804372907
533	0.5803579102
534	0.5802716588
535	0.5802094029
536	0.58007387
537	0.5799932687
538	0.5798888811
539	0.5797970843
540	0.5797412109
541	0.5796621443
542	0.5795697545
543	0.5794847586
544	0.5794005301
545	0.5792875977
546	0.5791921735
547	0.5791324637
548	0.5790686384
549	0.5790019531
550	0.5789569266
551	0.5788574568
552	0.578793736
553	0.5786948242
554	0.5785714983
555	0.578503697
556	0.5784325474
557	0.5783287528
558	0.5782364676
559	0.5781729562
560	0.5780098703
561	0.5779027274
562	0.5778165109
563	0.5777188198
564	0.577644322
565	0.5775367955
566	0.5774207241
567	0.5773021763
568	0.5772384905
569	0.5771050153
570	0.576987514
571	0.5769093192
572	0.5768235212
573	0.5766903599
574	0.576590332
575	0.5765115444
576	0.576429827
577	0.5763332171
578	0.5761945452
579	0.5760777065
580	0.5760240653
581	0.575910226
582	0.5758345424
583	0.5757716936
584	0.5756698521
585	0.5756011789
586	0.5754595424
587	0.5753598633
588	0.57528125
589	0.5751790248
590	0.5750919015
591	0.5749685407
592	0.5748600725
593	0.57477274
594	0.5746895578
595	0.574609096
596	0.574492048
597	0.5743816267
598	0.5743084891
599	0.5742082171
600	0.5741189662
601	0.5739870954
602	0.5738383789
603	0.5737106585
604	0.5735885184
605	0.5735247628
606	0.5734413365
607	0.5733289272
608	0.5732572196
609	0.5731534249
610	0.5730341099
611	0.5729047154
